qid	docid	query	title	TACM	PSCM	THCM	UBM	DBN	POM
q7685	d68013	蝴蝶 连连看 4399	蝴蝶 连连看 , 蝴蝶 连连看 小游戏 , 4399 小游戏	0.909184837443	0.909090426052	0.251794845652	0.646953740615	0.547948318749	1.0
q7685	d68014	蝴蝶 连连看 4399	蝴蝶 连连看 _ 蝴蝶 连连看 小游戏 _ 7k7k 蝴蝶 连连看 _ 7k7k 小游戏	0.490910062697	0.49125083186	0.25	0.129446496351	0.0905277358361	0.5
q7685	d68015	蝴蝶 连连看 4399	QQ 游戏 _ QQ 游戏 大全 _ 游戏 下载 _ QQ 游戏 官网	0.489614661398	0.489559915697	0.25	0.221015279394	0.119977890715	0.5
q7685	d68016	蝴蝶 连连看 4399	蝴蝶 连连看 HD 小游戏 , 在线 玩 , 4399 小游戏	0.488523459613	0.488461846914	0.25	0.310416020819	0.154561423269	0.5
q7685	d68017	蝴蝶 连连看 4399	搜狗 搜索	0.487473799702	0.487436337499	0.25	0.376620301617	0.18801919175	0.5
q7685	d68023	蝴蝶 连连看 4399	蝴蝶 连连看 小游戏 _ 蝴蝶 连连看 4399 _ 蝴蝶 连连看 下载	0.4938272314	0.493808256483	0.25	0.44869544744	0.22528265096	0.5
q7685	d68019	蝴蝶 连连看 4399	【 蝴蝶 连连看 2012 小游戏 】 蝴蝶 连连看 2012 小游戏 在线 玩 _ 蝴蝶 连连看 2012 小游戏 下载 - 4399j 小游戏	0.486152103674	0.486124384127	0.25	0.445786332274	0.227981590101	0.5
q7685	d68020	蝴蝶 连连看 4399	4399 宠物 连连看 3.0   花花 连连看 4399   蝴蝶 连连看 4399 官网 免费 下载 , 4399 宠物 连连看 3.0   花花 连连看 4399   蝴蝶 连连看 4399 官方 最新版 下载 - 126 免费 网络 硬盘	0.486061539952	0.48603472694	0.25	0.45910691983	0.236789551791	0.5
q7685	d68021	蝴蝶 连连看 4399	蝴蝶 连连看 4399 小游戏 , 双人 小游戏 , 4399 小游戏 , 7k7k 小游戏 , 3366 小游戏	0.491378146864	0.491360143182	0.25	0.471616159149	0.241284125655	0.5
q7685	d68022	蝴蝶 连连看 4399	蝴蝶 连连看 4399 单机版 下载 | 蝴蝶 连连看 _ 极光 下载站	0.491667478427	0.491656247037	0.25	0.476908152925	0.242796195567	0.5
