qid	docid	query	title	TACM	PSCM	THCM	UBM	DBN	POM
q4524	d10309	万万 没想到 第三季	《 万万 没想到   第二季 》 16 集全 — 大陆 — 电视剧 — 优 酷网 , 视频 高清 在线 观看	0.974414927586	0.977775524164	0.259192816118	0.603836881855	0.426588549558	1.0
q4524	d10305	万万 没想到 第三季	万万 没想到 第三季   -   播单   -   优酷 视频	0.836441955168	0.835164520431	0.369511400651	0.198010651447	0.0522063101055	1.0
q4524	d10306	万万 没想到 第三季	万万 没想到 第三季 全集 _ 动画片 万万 没想到 第三季 全集 _ 万万 没想到 之 千钧一发 - 星星 动漫网	0.960449197288	0.951260873378	0.253577981287	0.806281319647	0.616230875844	1.0
q4524	d40640	万万 没想到 第三季	《 万万 没想到 》 贺岁 特别篇 ： 千钧一发 ！ 正片 在 此 ！ _ 万万 没想到 吧 _ 百度 贴 吧	0.291220126235	0.290885661827	0.25	0.0591937388861	0.064596676573	0.5
q4524	d40641	万万 没想到 第三季	2014 最后 一季   万万 没想到 第三季 《 一年级 3 班 》 女生 负责 男生 睡觉   感动 全校 老师 _ 手机 乐视 视频	0.442044924716	0.441784883584	0.279176954733	0.188900706808	0.188269711056	1.0
q4524	d40643	万万 没想到 第三季	狠狠 Lu 现在 的 网址 影院	0.557842775092	0.556807744004	0.890245971162	0.377081451599	0.397213923198	1.0
q4524	d5	万万 没想到 第三季	微信 , 是 一个 生活 方式	0.281754884114	0.281638107251	0.25	0.170507603449	0.164868665214	0.5
q4524	d40644	万万 没想到 第三季	万万 没想到 2 - 电视剧 - 全集 高清 正版 视频 - 爱奇艺	0.28129573129	0.281183160901	0.25	0.189209243817	0.218288099865	0.5
q4524	d10311	万万 没想到 第三季	万万 没想到   第二季   03   我要 当 坏人 — 在线播放 — 《 万万 没想到   第二季 》 — 电视剧 — 优 酷网 , 视频 高清 在线 观看	0.285847367823	0.285754141888	0.25	0.211691288611	0.225963231959	0.5
q4524	d40645	万万 没想到 第三季	万星 人 的 自 频道 - 优酷 视频	0.310217961465	0.310156830896	0.25	0.258995130684	0.234341682702	0.5
