qid	docid	query	title	TACM	PSCM	THCM	UBM	DBN	POM
q52993	d440610	少年 神探 狄仁杰 电视剧	少年 神探 狄仁杰	0.499998675027	0.499998392638	0.25	0.340246679561	0.166666666667	0.5
q52993	d440613	少年 神探 狄仁杰 电视剧	少年 神探 狄仁杰   -   电视剧   -   恐怖 悬疑 版 片花   -   传记 , 古装 , 历史 , 武侠 , 悬疑 , 罪案   -   天天 看看   -   高清 在线 观看	0.499998056496	0.499998023095	0.25	0.385327318761	0.1988224929	0.5
q52993	d456231	少年 神探 狄仁杰 电视剧	少年 神探 狄仁杰 （ 卫视 版 ） - 电视剧 - 高清 视频 在线 观看 - 搜狐 视频	0.499997487143	0.499997451775	0.25	0.445060300965	0.222047260822	0.5
q52993	d440615	少年 神探 狄仁杰 电视剧	少年 神探 狄仁杰 电视剧 全集 在线 观看	0.499996969494	0.499996912965	0.25	0.47069018676	0.235829758829	0.5
q52993	d456232	少年 神探 狄仁杰 电视剧	您 访问 的 页面 不 存在	0.499996170178	0.49999616337	0.25	0.483589129445	0.243001895849	0.5
q52993	d5	少年 神探 狄仁杰 电视剧	微信 , 是 一个 生活 方式	0.499994517312	0.499994432182	0.25	0.491222123381	0.246469387156	0.5
q52993	d440612	少年 神探 狄仁杰 电视剧	少年 神探 狄仁杰 第 1 集分集 剧情 _ 电视剧 _ 电视 猫	0.499994146358	0.499994056959	0.25	0.494316963374	0.248084894558	0.5
q52993	d440614	少年 神探 狄仁杰 电视剧	操作 提示	0.499993844619	0.499993751841	0.25	0.496014272243	0.248824441456	0.5
q52993	d456233	少年 神探 狄仁杰 电视剧	《 少年 神探 狄仁杰 》 在线播放 _ 迅雷 下载 _ 国产 剧 _ 泡泡 电影网	0.499993687483	0.499993623964	0.25	0.496628266441	0.249160251777	0.5
q52993	d456234	少年 神探 狄仁杰 电视剧	少年 神探 狄仁杰	0.499994186882	0.499994153409	0.25	0.49752231064	0.249312171215	0.5
