qid	docid	query	title	TACM	PSCM	THCM	UBM	DBN	POM
q14309	d124264	清明 寄语	搜狗 搜索	0.750102982814	0.749985953477	0.885714285714	0.376877301449	0.119816846333	1.0
q14309	d124265	清明 寄语	清明节 寄语 2015	0.749810050347	0.749696560146	0.250266477209	0.410603448512	0.08595291386	1.0
q14309	d124266	清明 寄语	清明 寄语	0.497536070656	0.497516110966	0.25	0.226777376664	0.0643918257665	0.5
q14309	d124267	清明 寄语	清明节 寄语	0.750879410902	0.749673195206	0.250399744327	0.674422306344	0.187041276714	1.0
q14309	d124268	清明 寄语	清明 寄语 _ 散文 吧	0.665852609813	0.66583791377	0.942222222222	0.536725711623	0.214099259573	1.0
q14309	d124269	清明 寄语	清明节 寄语 怎样 写 _ 百度 知道	0.496350686314	0.496339462265	0.25	0.362747002975	0.109049442494	0.5
q14309	d5	清明 寄语	微信 , 是 一个 生活 方式	0.665921954412	0.6658778687	0.905578231293	0.616740408857	0.282273913622	1.0
q14309	d124270	清明 寄语	清明节 寄语 集锦	0.496545980407	0.496535765864	0.25	0.398536617801	0.14979016309	0.5
q14309	d124271	清明 寄语	清明节 寄语	0.666568084735	0.666356268079	0.879191919192	0.618747371167	0.342529641943	1.0
q14309	d124272	清明 寄语	红袖添香 _ 阅文 集团 旗下 网站	0.497444857855	0.49744134105	0.25	0.387773542114	0.201553122599	0.5
